Time,LMP,Energy,Congestion,Loss,hour,day_of_week,month,quarter,is_weekend,is_monday,is_summer,is_winter,is_peak_hour,is_offpeak_hour,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,lmp_lag_24h,lmp_lag_48h,lmp_lag_72h,lmp_lag_168h,congestion_lag_24h,congestion_lag_168h,spike_lag_24h,lmp_roll_24h_mean,lmp_roll_48h_mean,lmp_roll_7d_mean,lmp_roll_24h_std,lmp_roll_7d_std,lmp_roll_24h_max,lmp_roll_24h_min,lmp_vs_7d_avg,is_holiday,is_day_before_holiday
2021-08-25 18:00:00-05:00,82.14,79.64,1.67,0.83,18,2,8,3,0,0,1,0,1,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,74.62,71.3,51.66,47.5,2.84,-0.02,0,56.52041666666667,53.19020833333334,43.93815476190476,23.20976490133876,16.98869340945155,105.14,30.91,1.6982961711604923,0,0
2021-08-25 19:00:00-05:00,69.74,68.03,1.14,0.57,19,2,8,3,0,0,1,0,1,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,64.22,60.26,46.27,43.0,1.19,-0.01,0,56.68541666666667,53.564166666666665,44.079702380952384,23.251544124352705,17.058296080803604,105.14,30.91,1.4569063884548956,0,0
2021-08-25 20:00:00-05:00,60.61,59.06,2.28,-0.73,20,2,8,3,0,0,1,0,1,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,57.76,52.95,41.15,41.37,2.62,0.0,0,56.88583333333333,53.91020833333334,44.199702380952374,23.238673148658883,17.083331772865524,105.14,30.91,1.3067961295796273,0,0
2021-08-25 21:00:00-05:00,49.25,47.85,2.19,-0.79,21,2,8,3,0,0,1,0,0,0,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,49.71,45.13,34.78,34.83,2.1,0.0,0,57.07666666666666,54.22125,44.30321428571428,23.156598583796125,17.06359248250211,105.14,30.91,1.1220404840022895,0,0
2021-08-25 22:00:00-05:00,46.8,43.72,4.16,-1.08,22,2,8,3,0,0,1,0,0,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,44.01,39.87,31.7,32.38,3.5,1.01,0,57.24916666666667,54.47770833333333,44.37851190476191,23.037964492790348,17.03402022652632,105.14,30.91,0.9916961635497659,0,0
2021-08-25 23:00:00-05:00,43.83,39.7,3.37,0.76,23,2,8,3,0,0,1,0,0,0,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,37.68,35.81,30.87,30.11,3.29,0.43,0,57.32708333333334,54.61958333333334,44.43434523809524,22.96535036114623,16.996334216949098,105.14,30.91,0.8479926911963477,0,0
2021-08-26 00:00:00-05:00,37.92,35.49,2.81,-0.38,0,3,8,3,0,0,1,0,0,1,0.0,1.0,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,34.9,36.45,31.43,30.03,2.43,0.03,0,57.262499999999996,54.691875,44.46660714285714,23.028705763253154,16.97290626564084,105.14,30.91,0.7848586218390204,0,0
2021-08-26 01:00:00-05:00,33.54,31.54,1.57,0.43,1,3,8,3,0,0,1,0,0,1,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,32.54,32.69,29.15,28.27,2.0,0.04,0,57.25625,54.76250000000001,44.495,23.03568400330353,16.948780925196523,105.14,30.91,0.7313181256320935,0,0
2021-08-26 02:00:00-05:00,31.22,30.21,1.49,-0.48,2,3,8,3,0,0,1,0,0,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,31.26,31.07,27.52,26.56,2.01,0.03,0,57.264166666666675,54.84041666666667,44.51880952380952,23.02632405043012,16.9272202148796,105.14,30.91,0.7021751105739148,0,0
2021-08-26 03:00:00-05:00,30.67,29.200000000000003,1.16,0.31,3,3,8,3,0,0,1,0,0,1,0.7071067811865476,0.7071067811865476,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,30.84,30.91,27.26,26.43,1.82,0.03,0,57.26125,54.915,44.544642857142854,23.02981155174201,16.90285048039854,105.14,30.84,0.6923391461214673,0,0
2021-08-26 04:00:00-05:00,32.91,30.5,2.45,-0.04,4,3,8,3,0,0,1,0,0,1,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,32.42,33.46,29.58,28.3,1.69,0.03,0,57.21791666666667,54.97416666666667,44.57238095238095,23.07747273089022,16.87894813385921,105.14,30.84,0.7273562530715156,0,0
2021-08-26 05:00:00-05:00,39.64,36.040000000000006,3.94,-0.34,5,3,8,3,0,0,1,0,0,1,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,38.52,38.86,35.13,31.98,2.47,0.24,0,57.20375000000001,55.04479166666667,44.620595238095234,23.089333470430667,16.84982374158905,105.14,30.84,0.863278488206119,0,0
2021-08-26 06:00:00-05:00,40.02,34.78,4.72,0.52,6,3,8,3,0,0,1,0,0,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,38.92,40.02,34.64,32.97,2.23,0.24,0,57.157916666666665,55.13395833333334,44.684464285714284,23.12598970463523,16.807453534729056,105.14,30.84,0.8709962315122307,0,0
2021-08-26 07:00:00-05:00,40.88,36.51,4.49,-0.12,7,3,8,3,0,0,1,0,0,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,42.37,40.84,38.19,33.94,3.4,0.38,0,57.221666666666664,55.22104166666667,44.75529761904762,23.081116630864948,16.772228147644757,105.14,30.84,0.9467035692768481,0,0
2021-08-26 08:00:00-05:00,47.18,44.28,2.48,0.42,8,3,8,3,0,0,1,0,0,0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,48.88,47.71,47.26,40.98,4.04,0.31,0,57.27041666666667,55.25479166666667,44.84601190476191,23.061380568646324,16.752952412598372,105.14,30.84,1.0899519918026368,0,0
2021-08-26 09:00:00-05:00,58.31,51.81,6.29,0.21,9,3,8,3,0,0,1,0,0,0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,56.31,55.85,50.85,47.21,3.29,0.17,0,57.28958333333333,55.368541666666665,44.96,23.060339844242066,16.765487361453943,105.14,30.84,1.2524466192170818,0,0
2021-08-26 10:00:00-05:00,69.51,60.16,7.92,1.43,10,3,8,3,0,0,1,0,0,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,62.52,59.8,53.13,49.14,2.83,0.1,0,57.40291666666667,55.564166666666665,45.09303571428571,23.079889698925054,16.815849693337015,105.14,30.84,1.3864668681020589,0,0
2021-08-26 11:00:00-05:00,78.0,68.13,8.42,1.45,11,3,8,3,0,0,1,0,0,0,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,71.73,62.21,56.44,53.87,0.33,0.0,0,57.79958333333334,55.88270833333334,45.27107142857143,23.24730100821858,16.938873515405955,105.14,30.84,1.5844555416183466,0,0
2021-08-26 12:00:00-05:00,89.8,75.99000000000001,12.35,1.46,12,3,8,3,0,0,1,0,0,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,84.26,71.43,62.59,54.58,2.59,0.0,0,58.33416666666667,56.33416666666667,45.49761904761905,23.71713541553648,17.203815035687754,105.14,30.84,1.8519650426500602,0,0
2021-08-26 13:00:00-05:00,98.93,82.6,14.93,1.4,13,3,8,3,0,0,1,0,0,0,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,97.32,82.26,71.47,58.58,4.93,0.0,1,58.961666666666666,56.87270833333333,45.767857142857146,24.561862743882628,17.655933580251546,105.14,30.84,2.126383144752243,0,0
2021-08-26 14:00:00-05:00,107.97,93.56,12.83,1.58,14,3,8,3,0,0,1,0,0,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,104.42,89.18,80.59,60.01,3.48,0.0,1,59.59666666666667,57.36916666666667,46.06428571428572,25.554028299250486,18.214653854949017,105.14,30.84,2.2668320669871296,0,0
2021-08-26 15:00:00-05:00,117.23,103.03,12.45,1.75,15,3,8,3,0,0,1,0,0,0,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,121.56,105.14,94.3,69.04,4.7,0.0,1,60.280833333333334,57.937083333333334,46.42053571428571,27.005005802736857,19.0868934326386,121.56,30.84,2.618668615721952,0,0
